year,count,population
2014,2210,647946
2015,1992,645387
2016,2149,642211
2017,2260,638853
2018,1980,637425
2019,1651,634994
2020,1392,628388
2021,1278,622541
2022,1566,618468
2023,1877,614587
2024,1426,610919
