year,count,population
2014,16457,647946
2015,16032,645387
2016,15946,642211
2017,17901,638853
2018,19305,637425
2019,18901,634994
2020,17048,628388
2021,15886,622541
2022,18486,618468
2023,21532,614587
2024,18671,610919
