year,count,population
2014,1875,647946
2015,1671,645387
2016,2006,642211
2017,2519,638853
2018,2953,637425
2019,2631,634994
2020,2799,628388
2021,3228,622541
2022,5813,618468
2023,11244,614587
2024,7329,610919
