year,count,population
2014,3330,647946
2015,3198,645387
2016,3487,642211
2017,3988,638853
2018,3892,637425
2019,3837,634994
2020,4269,628388
2021,5115,622541
2022,4833,618468
2023,5140,614587
2024,5170,610919
