year,count,population
2014,7499,647946
2015,6664,645387
2016,6092,642211
2017,6163,638853
2018,5670,637425
2019,4966,634994
2020,3718,628388
2021,3177,622541
2022,3918,618468
2023,4606,614587
2024,3700,610919
