city,year,count
"Los Angeles, California",2014,23
"Los Angeles, California",2015,15
"Los Angeles, California",2016,27
"Los Angeles, California",2017,8
"Los Angeles, California",2018,47
"Los Angeles, California",2019,27
"Los Angeles, California",2020,25
"Los Angeles, California",2021,24
"Los Angeles, California",2022,31
"Los Angeles, California",2023,16
"Los Angeles, California",2024,22
