city,year,count
"Los Angeles, California",2014,1385
"Los Angeles, California",2015,1116
"Los Angeles, California",2016,915
"Los Angeles, California",2017,1281
"Los Angeles, California",2018,1358
"Los Angeles, California",2019,1283
"Los Angeles, California",2020,1321
"Los Angeles, California",2021,1006
"Los Angeles, California",2022,995
"Los Angeles, California",2023,849
"Los Angeles, California",2024,466
