city,year,count
"Los Angeles, California",2014,850
"Los Angeles, California",2015,705
"Los Angeles, California",2016,660
"Los Angeles, California",2017,622
"Los Angeles, California",2018,568
"Los Angeles, California",2019,558
"Los Angeles, California",2020,512
"Los Angeles, California",2021,335
"Los Angeles, California",2022,394
"Los Angeles, California",2023,372
"Los Angeles, California",2024,323
