city,year,count
"Los Angeles, California",2014,584
"Los Angeles, California",2015,461
"Los Angeles, California",2016,654
"Los Angeles, California",2017,568
"Los Angeles, California",2018,461
"Los Angeles, California",2019,487
"Los Angeles, California",2020,329
"Los Angeles, California",2021,154
"Los Angeles, California",2022,139
"Los Angeles, California",2023,139
"Los Angeles, California",2024,156
