city,year,count
"Portland, Oregon",2015,5546
"Portland, Oregon",2016,5125
"Portland, Oregon",2017,3460
"Portland, Oregon",2018,4358
"Portland, Oregon",2019,3475
"Portland, Oregon",2020,3637
"Portland, Oregon",2021,3419
"Portland, Oregon",2022,3274
"Portland, Oregon",2023,3325
"Portland, Oregon",2024,3061
