city,year,count
"Portland, Oregon",2015,16
"Portland, Oregon",2016,22
"Portland, Oregon",2017,24
"Portland, Oregon",2018,60
"Portland, Oregon",2019,80
"Portland, Oregon",2020,90
"Portland, Oregon",2021,66
"Portland, Oregon",2022,72
"Portland, Oregon",2023,82
"Portland, Oregon",2024,68
