city,year,count
"Los Angeles, California",2014,3863
"Los Angeles, California",2015,3869
"Los Angeles, California",2016,4110
"Los Angeles, California",2017,4638
"Los Angeles, California",2018,7653
"Los Angeles, California",2019,9579
"Los Angeles, California",2020,8885
"Los Angeles, California",2021,6858
"Los Angeles, California",2022,7213
"Los Angeles, California",2023,6902
"Los Angeles, California",2024,6496
