city,year,count
"Los Angeles, California",2014,537
"Los Angeles, California",2015,429
"Los Angeles, California",2016,384
"Los Angeles, California",2017,1016
"Los Angeles, California",2018,450
"Los Angeles, California",2019,321
"Los Angeles, California",2020,415
"Los Angeles, California",2021,46
"Los Angeles, California",2022,66
"Los Angeles, California",2023,77
"Los Angeles, California",2024,65
