city,year,count
"Los Angeles, California",2014,35
"Los Angeles, California",2015,33
"Los Angeles, California",2016,24
"Los Angeles, California",2017,21
"Los Angeles, California",2018,15
"Los Angeles, California",2019,7
"Los Angeles, California",2020,9
"Los Angeles, California",2021,2
"Los Angeles, California",2022,1
"Los Angeles, California",2023,5
"Los Angeles, California",2024,5
