year,count,population
2014,2832,10052585
2015,2102,10100900
2016,1733,10123015
2017,1592,10125014
2018,1593,10098683
2019,1920,10053252
2020,1363,9996634
2021,880,9809239
2022,1063,9748447
2023,848,9731837
2024,676,9757179
