year,count,population
2014,537,10052585
2015,429,10100900
2016,384,10123015
2017,1016,10125014
2018,450,10098683
2019,321,10053252
2020,415,9996634
2021,46,9809239
2022,66,9748447
2023,77,9731837
2024,65,9757179
