year,count,population
2014,1291,10052585
2015,1181,10100900
2016,1726,10123015
2017,1446,10125014
2018,1166,10098683
2019,1457,10053252
2020,1348,9996634
2021,741,9809239
2022,557,9748447
2023,355,9731837
2024,397,9757179
