year,count,population
2014,3914,10052585
2015,4155,10100900
2016,4700,10123015
2017,4663,10125014
2018,4220,10098683
2019,4278,10053252
2020,3503,9996634
2021,3236,9809239
2022,4000,9748447
2023,4140,9731837
2024,4193,9757179
