year,count,population
2014,10211,10052585
2015,12202,10100900
2016,12869,10123015
2017,12600,10125014
2018,11244,10098683
2019,9929,10053252
2020,12877,9996634
2021,16019,9809239
2022,15701,9748447
2023,16805,9731837
2024,16154,9757179
