year,count,population
2014,23,10052585
2015,15,10100900
2016,27,10123015
2017,8,10125014
2018,47,10098683
2019,27,10053252
2020,25,9996634
2021,24,9809239
2022,31,9748447
2023,16,9731837
2024,22,9757179
