year,count,population
2014,3085,10052585
2015,3320,10100900
2016,3623,10123015
2017,4021,10125014
2018,4051,10098683
2019,4344,10053252
2020,4840,9996634
2021,4695,9809239
2022,4758,9748447
2023,3820,9731837
2024,3709,9757179
