year,count,population
2014,1091,10052585
2015,1096,10100900
2016,1124,10123015
2017,1251,10125014
2018,1374,10098683
2019,1462,10053252
2020,1565,9996634
2021,1529,9809239
2022,1906,9748447
2023,1928,9731837
2024,1968,9757179
