year,count,population
2014,3863,10052585
2015,3869,10100900
2016,4110,10123015
2017,4638,10125014
2018,7653,10098683
2019,9579,10053252
2020,8885,9996634
2021,6858,9809239
2022,7213,9748447
2023,6902,9731837
2024,6496,9757179
