year,count,population
2014,19150,10052585
2015,14592,10100900
2016,16302,10123015
2017,16613,10125014
2018,15616,10098683
2019,18364,10053252
2020,16674,9996634
2021,12070,9809239
2022,11900,9748447
2023,8822,9731837
2024,8503,9757179
