year,count,population
2014,408,10052585
2015,478,10100900
2016,533,10123015
2017,512,10125014
2018,484,10098683
2019,482,10053252
2020,567,9996634
2021,516,9809239
2022,549,9748447
2023,537,9731837
2024,561,9757179
