year,count,population
2014,6290,10052585
2015,6455,10100900
2016,6866,10123015
2017,6917,10125014
2018,6825,10098683
2019,6732,10053252
2020,7129,9996634
2021,7385,9809239
2022,8299,9748447
2023,8023,9731837
2024,7907,9757179
