year,count,population
2014,12498,10052585
2015,12947,10100900
2016,13019,10123015
2017,13020,10125014
2018,11400,10098683
2019,9741,10053252
2020,8172,9996634
2021,7724,9809239
2022,10473,9748447
2023,10608,9731837
2024,10438,9757179
