year,count,population
2014,14131,10052585
2015,14395,10100900
2016,15227,10123015
2017,14817,10125014
2018,14860,10098683
2019,14213,10053252
2020,12639,9996634
2021,12218,9809239
2022,13894,9748447
2023,13345,9731837
2024,13342,9757179
