year,count,population
2014,584,10052585
2015,461,10100900
2016,654,10123015
2017,568,10125014
2018,461,10098683
2019,487,10053252
2020,329,9996634
2021,154,9809239
2022,139,9748447
2023,139,9731837
2024,156,9757179
