year,count,population
2014,20030,10052585
2015,21865,10100900
2016,21688,10123015
2017,20834,10125014
2018,19229,10098683
2019,20506,10053252
2020,17334,9996634
2021,15000,9809239
2022,14750,9748447
2023,12814,9731837
2024,11646,9757179
