year,count,population
2014,1385,10052585
2015,1116,10100900
2016,915,10123015
2017,1281,10125014
2018,1358,10098683
2019,1283,10053252
2020,1321,9996634
2021,1006,9809239
2022,995,9748447
2023,849,9731837
2024,466,9757179
