year,count,population
2014,1920,10052585
2015,2151,10100900
2016,2421,10123015
2017,2322,10125014
2018,1888,10098683
2019,1778,10053252
2020,1362,9996634
2021,946,9809239
2022,1260,9748447
2023,1183,9731837
2024,1169,9757179
