year,count,population
2014,137,10052585
2015,178,10100900
2016,189,10123015
2017,158,10125014
2018,168,10098683
2019,120,10053252
2020,174,9996634
2021,240,9809239
2022,182,9748447
2023,171,9731837
2024,168,9757179
