year,count,population
2014,299,10052585
2015,247,10100900
2016,220,10123015
2017,177,10125014
2018,199,10098683
2019,186,10053252
2020,195,9996634
2021,156,9809239
2022,151,9748447
2023,127,9731837
2024,121,9757179
