year,count,population
2014,850,10052585
2015,705,10100900
2016,660,10123015
2017,622,10125014
2018,568,10098683
2019,558,10053252
2020,512,9996634
2021,335,9809239
2022,394,9748447
2023,372,9731837
2024,323,9757179
