year,count,population
2014,31717,10052585
2015,33511,10100900
2016,35753,10123015
2017,34340,10125014
2018,32454,10098683
2019,31260,10053252
2020,28303,9996634
2021,28491,9809239
2022,32542,9748447
2023,32898,9731837
2024,32778,9757179
