year,count,population
2014,35,10052585
2015,33,10100900
2016,24,10123015
2017,21,10125014
2018,15,10098683
2019,7,10053252
2020,9,9996634
2021,2,9809239
2022,1,9748447
2023,5,9731837
2024,5,9757179
