year,count,population
2014,2394,10052585
2015,2275,10100900
2016,2226,10123015
2017,2289,10125014
2018,2312,10098683
2019,2291,10053252
2020,2103,9996634
2021,1837,9809239
2022,2227,9748447
2023,2078,9731837
2024,1992,9757179
