year,count,population
2014,378,10052585
2015,536,10100900
2016,469,10123015
2017,482,10125014
2018,543,10098683
2019,581,10053252
2020,495,9996634
2021,334,9809239
2022,388,9748447
2023,292,9731837
2024,164,9757179
