year,count,population
2014,7885,10052585
2015,8470,10100900
2016,8283,10123015
2017,7626,10125014
2018,6954,10098683
2019,6716,10053252
2020,6464,9996634
2021,6307,9809239
2022,10260,9748447
2023,7506,9731837
2024,5742,9757179
