year,count,population
2014,2644,10052585
2015,2391,10100900
2016,2017,10123015
2017,1944,10125014
2018,2031,10098683
2019,2244,10053252
2020,1964,9996634
2021,1938,9809239
2022,1689,9748447
2023,1567,9731837
2024,1480,9757179
