year,count,population
2014,10901,10052585
2015,11638,10100900
2016,12548,10123015
2017,11881,10125014
2018,10672,10098683
2019,10178,10053252
2020,10607,9996634
2021,9790,9809239
2022,10430,9748447
2023,10091,9731837
2024,10247,9757179
