year,count,population
2014,666,10052585
2015,603,10100900
2016,715,10123015
2017,687,10125014
2018,731,10098683
2019,686,10053252
2020,452,9996634
2021,468,9809239
2022,526,9748447
2023,559,9731837
2024,541,9757179
